itemBarcode,itemId,itemName,itemNumber,status,lastUpdated,customerId,adminNotes
683269185,e8544a46,Oksigen 1m3,0003,,8/13/2025 12:01:27,AKGREADY,
,e8544a46,Oksigen 1m3,0005,,8/13/2025 12:02:48,AKGREADY,
683328637,e8544a46,Oksigen 1m3,0006,,8/13/2025 12:02:26,AKGREADY,
,e8544a46,Oksigen 1m3,0009,,8/13/2025 12:03:13,5d599a87,
673544971,8bdbe149,Oksigen 6m3,1101,,9/13/2025 13:35:32,ba97d58d,
682458205,8bdbe149,Oksigen 6m3,1102,,11/22/2025 13:43:47,1c4d5e93,
,8bdbe149,Oksigen 6m3,1103,,,01158be1,
,8bdbe149,Oksigen 6m3,1104,,,45d814b4,
672403145,8bdbe149,Oksigen 6m3,1105,,9/8/2025 8:15:14,a0f0ad2d,
672403154,8bdbe149,Oksigen 6m3,1106,,9/30/2025 8:47:11,a0f0ad2d,
672403066,8bdbe149,Oksigen 6m3,1107,,9/11/2025 8:23:13,58b72e0c,
2026000440,8bdbe149,Oksigen 6m3,1108,,1/30/2026 12:59:54,734c6d17,
682359357,8bdbe149,Oksigen 6m3,1109,,11/5/2025 16:59:26,AKGREADY,
672403109,8bdbe149,Oksigen 6m3,1110,,8/30/2025 9:46:15,3b04351a,
673540726,8bdbe149,Oksigen 6m3,11100,,8/13/2025 11:58:50,a0f0ad2d,
683327203,8bdbe149,Oksigen 6m3,11101,,8/29/2025 9:20:17,8ea74d81,
683327197,8bdbe149,Oksigen 6m3,11102,,8/7/2025 14:45:44,1c48ae79,
,8bdbe149,Oksigen 6m3,11104,,10/31/2025 14:43:53,057b6b99,
673540735,8bdbe149,Oksigen 6m3,11105,,9/10/2025 9:33:16,63fc688a,
,8bdbe149,Oksigen 6m3,11106,,11/4/2025 17:02:16,a0f0ad2d,
682456571,8bdbe149,Oksigen 6m3,11107,,11/7/2025 10:44:24,AKGREADY,
683324039,8bdbe149,Oksigen 6m3,11108,,11/11/2025 10:21:58,a9fe1bea,
2026000457,8bdbe149,Oksigen 6m3,11109,,1/28/2026 15:33:29,AKGREADY,
672403075,8bdbe149,Oksigen 6m3,1111,,9/19/2025 8:36:30,AKGREADY,
112455,8bdbe149,Oksigen 6m3,11110,,1/28/2026 16:47:45,faf71ae5,
673541530,8bdbe149,Oksigen 6m3,11111,,9/9/2025 10:10:55,2d88931c,
672405754,8bdbe149,Oksigen 6m3,11112,,8/27/2025 11:56:31,8ea74d81,
683275724,8bdbe149,Oksigen 6m3,11113,,9/19/2025 8:38:08,63fc688a,
673544999,8bdbe149,Oksigen 6m3,11114,,8/4/2025 11:28:08,bdb5baf3,
673542733,8bdbe149,Oksigen 6m3,11115,,9/9/2025 10:08:41,9828dfc5,
682361413,8bdbe149,Oksigen 6m3,11116,,11/3/2025 15:34:58,4ec68cf6,
673540355,8bdbe149,Oksigen 6m3,11117,,9/9/2025 10:10:35,63fc688a,
683325250,8bdbe149,Oksigen 6m3,11118,,9/9/2025 10:10:42,a9fe1bea,
2026000454,8bdbe149,Oksigen 6m3,11119,,1/28/2026 16:47:55,9828dfc5,
672403093,8bdbe149,Oksigen 6m3,1112,,9/27/2025 14:51:43,63fc688a,
682458214,8bdbe149,Oksigen 6m3,11120,,11/22/2025 13:44:18,AKGREADY,
682361422,8bdbe149,Oksigen 6m3,11121,,11/14/2025 13:59:56,eec2e801,
683319161,8bdbe149,Oksigen 6m3,11122,,9/19/2025 16:25:23,63fc688a,
2026000419,8bdbe149,Oksigen 6m3,11123,,2/5/2026 9:17:06,02c693f1,
2026000487,8bdbe149,Oksigen 6m3,11124,,1/27/2026 9:09:06,4ec68cf6,
673539261,8bdbe149,Oksigen 6m3,11125,,8/29/2025 9:19:21,a9fe1bea,
673539225,8bdbe149,Oksigen 6m3,11126,,9/19/2025 16:26:53,AKGREADY,
673540638,8bdbe149,Oksigen 6m3,11127,,9/9/2025 10:08:10,AKGREADY,
673544324,8bdbe149,Oksigen 6m3,11128,,,AKGREADY,
682368346,8bdbe149,Oksigen 6m3,11129,,1/27/2026 9:06:13,63fc688a,
672403084,8bdbe149,Oksigen 6m3,1113,,,63fc688a,
682461892,8bdbe149,Oksigen 6m3,11130,,12/4/2025 9:28:06,e86baf3b,
683270604,8bdbe149,Oksigen 6m3,11132,,8/27/2025 11:56:55,AKGREADY,
673539331,8bdbe149,Oksigen 6m3,11133,,8/30/2025 9:42:33,eec2e801,
2026000402,8bdbe149,Oksigen 6m3,11134,,2/7/2026 14:23:36,2d88931c,
673539827,7d2764f1,Oksigen 7m3,11135,,9/11/2025 8:35:23,7b9d8eba,
683269583,7d2764f1,Oksigen 7m3,11136,,8/20/2025 11:25:09,9b941888,
673546696,7d2764f1,Oksigen 7m3,11137,,9/26/2025 14:59:16,AKGREADY,
2026000460,7d2764f1,Oksigen 7m3,11138,,1/28/2026 15:41:12,9b941888,
683330711,7d2764f1,Oksigen 7m3,11139,,2/11/2026 10:02:41,01158be1,
No barcode,8bdbe149,Oksigen 6m3,1114,,2/19/2026 10:22:47,01158be1,
683271241,7d2764f1,Oksigen 7m3,11140,,11/22/2025 13:42:50,f7243d00,
683322606,7d2764f1,Oksigen 7m3,11141,,8/20/2025 11:26:26,9e66ced9,
673545253,7d2764f1,Oksigen 7m3,11142,,11/22/2025 13:42:13,01158be1,
673541187,7d2764f1,Oksigen 7m3,11143,,11/22/2025 13:42:03,63fc688a,
683321458,7d2764f1,Oksigen 7m3,11144,,8/13/2025 11:52:54,AKGREADY,
683319189,7d2764f1,Oksigen 7m3,11145,,8/29/2025 8:33:03,63fc688a,
683319301,7d2764f1,Oksigen 7m3,11146,,9/11/2025 8:36:44,AKGREADY,
683319277,7d2764f1,Oksigen 7m3,11147,,8/29/2025 16:58:36,f7243d00,
683321397,7d2764f1,Oksigen 7m3,11148,,8/20/2025 11:24:42,3b04351a,
683319310,7d2764f1,Oksigen 7m3,11149,,8/29/2025 17:01:15,f7243d00,
672401280,8bdbe149,Oksigen 6m3,1115,,8/7/2025 14:43:10,58b72e0c,
2026000444,7d2764f1,Oksigen 7m3,11150,,1/30/2026 9:46:48,f7243d00,
2026000410,7d2764f1,Oksigen 7m3,11151,,2/7/2026 14:24:40,01158be1,
673546030,7d2764f1,Oksigen 7m3,11152,,8/15/2025 14:46:50,01158be1,
683326073,7d2764f1,Oksigen 7m3,11153,,9/19/2025 8:34:18,AKGREADY,
673541415,7d2764f1,Oksigen 7m3,11154,,9/19/2025 8:34:27,e86baf3b,
673541141,7d2764f1,Oksigen 7m3,11155,,11/20/2025 10:01:09,f7243d00,
673545402,7d2764f1,Oksigen 7m3,11157,,11/24/2025 11:00:29,b218b89b,
673539298,7d2764f1,Oksigen 7m3,11158,,7/30/2025 16:14:23,01158be1,
683320583,8bdbe149,Oksigen 6m3,11159,,8/4/2025 16:34:46,e76bc39c,
682456757,8bdbe149,Oksigen 6m3,1116,,11/7/2025 9:31:32,AKGREADY,
683321421,7d2764f1,Oksigen 7m3,11160,,7/30/2025 16:14:08,dcc017cb,
673540665,7d2764f1,Oksigen 7m3,11161,,8/6/2025 10:34:43,63fc688a,
2026000424,7d2764f1,Oksigen 7m3,11162,,2/5/2026 9:01:23,f7243d00,
2026000407,7d2764f1,Oksigen 7m3,11163,,2/7/2026 14:24:55,AKGREADY,
683326170,7d2764f1,Oksigen 7m3,11164,,9/12/2025 15:25:25,e86baf3b,
682368382,8bdbe149,Oksigen 6m3,11165,,11/12/2025 8:43:28,a9fe1bea,
2026000459,7d2764f1,Oksigen 7m3,11166,,1/28/2026 15:41:02,01158be1,
673544494,7d2764f1,Oksigen 7m3,11167,,9/1/2025 10:38:17,01158be1,
683279207,7d2764f1,Oksigen 7m3,11168,,9/22/2025 14:45:49,AKGREADY,
673544573,7d2764f1,Oksigen 7m3,11169,,11/20/2025 12:40:18,63fc688a,
672403224,8bdbe149,Oksigen 6m3,1117,,9/30/2025 8:42:53,58b72e0c,
683321412,7d2764f1,Oksigen 7m3,11170,,8/6/2025 10:37:15,01158be1,
673544555,7d2764f1,Oksigen 7m3,11171,,9/6/2025 9:52:16,f8a982a4,
2026000445,7d2764f1,Oksigen 7m3,11172,,1/30/2026 9:46:26,f7243d00,
673539775,7d2764f1,Oksigen 7m3,11173,,1/30/2026 9:46:38,63fc688a,
2026000409,7d2764f1,Oksigen 7m3,11174,,2/7/2026 14:24:23,AKGREADY,
673539216,8bdbe149,Oksigen 6m3,11175,,9/8/2025 8:27:52,63fc688a,
673545226,8bdbe149,Oksigen 6m3,11176,,8/7/2025 14:44:15,01158be1,
2026000405,8bdbe149,Oksigen 6m3,11177,,2/7/2026 14:22:17,AKGREADY,
683279270,7d2764f1,Oksigen 7m3,11178,,3/31/2026 9:11:12,63fc688a,
683269282,8bdbe149,Oksigen 6m3,11179,,9/19/2025 8:35:03,e86baf3b,
672403020,8bdbe149,Oksigen 6m3,1118,,8/28/2025 9:58:04,e86baf3b,
683325223,8bdbe149,Oksigen 6m3,11180,,9/19/2025 8:35:59,a0f0ad2d,
683270598,8bdbe149,Oksigen 6m3,11181,,8/27/2025 11:56:00,e86baf3b,
2026000408,8bdbe149,Oksigen 6m3,11182,,2/7/2026 14:34:27,9828dfc5,
682361769,8bdbe149,Oksigen 6m3,11183,,2/3/2026 14:30:46,785e0e07,
683319295,8bdbe149,Oksigen 6m3,11184,,10/4/2025 18:22:20,ce83e171,
682365729,8bdbe149,Oksigen 6m3,11185,,11/21/2025 11:49:39,182fb0fe,
672926673,8bdbe149,Oksigen 6m3,11186,,9/11/2025 8:23:31,b2b5f2c5,
682457808,8bdbe149,Oksigen 6m3,11187,,11/25/2025 14:38:42,AKGREADY,
673545244,8bdbe149,Oksigen 6m3,11188,,8/13/2025 12:00:48,b2b5f2c5,
673540337,8bdbe149,Oksigen 6m3,11189,,8/27/2025 11:54:43,eec2e801,
672401138,8bdbe149,Oksigen 6m3,1119,,10/8/2025 18:40:49,e86baf3b,
,8bdbe149,Oksigen 6m3,11190,,,AKGREADY,
673539191,8bdbe149,Oksigen 6m3,11191,,1/28/2026 15:41:27,98c84274,
682456526,8bdbe149,Oksigen 6m3,11192,,11/7/2025 10:45:06,9828dfc5,
683325764,8bdbe149,Oksigen 6m3,11193,,9/19/2025 8:36:54,03ff52db,
,8bdbe149,Oksigen 6m3,11194,,11/1/2025 11:16:38,AKGREADY,
672926682,7d2764f1,Oksigen 7m3,11195,,8/15/2025 14:47:37,1a1efff9,
682363271,8bdbe149,Oksigen 6m3,11196,,11/28/2025 8:19:58,63fc688a,
683325171,8bdbe149,Oksigen 6m3,11197,,9/19/2025 8:36:23,e86baf3b,
-,8bdbe149,Oksigen 6m3,11198,,2/11/2026 13:55:21,4ec68cf6,
683325302,8bdbe149,Oksigen 6m3,11199,,9/19/2025 8:35:42,3b04351a,
672401299,8bdbe149,Oksigen 6m3,1120,,,eec2e801,
683327249,8bdbe149,Oksigen 6m3,11200,,9/6/2025 9:46:23,ba97d58d,
682359366,8bdbe149,Oksigen 6m3,11201,,11/27/2025 11:16:01,AKGREADY,
no barcode,8bdbe149,Oksigen 6m3,11202,,2/21/2026 9:46:47,d9b2fac5,
683279571,8bdbe149,Oksigen 6m3,11203,,10/4/2025 18:21:25,eec2e801,
683327230,8bdbe149,Oksigen 6m3,11204,,9/6/2025 9:49:16,AKGREADY,
673546517,8bdbe149,Oksigen 6m3,11205,,11/7/2025 13:32:12,785e0e07,
673540692,8bdbe149,Oksigen 6m3,11206,,11/3/2025 15:35:39,9828dfc5,
683325214,8bdbe149,Oksigen 6m3,11207,,8/20/2025 11:18:36,AKGREADY,
673544290,8bdbe149,Oksigen 6m3,11208,,9/22/2025 10:26:03,AKGREADY,
683326091,8bdbe149,Oksigen 6m3,11209,,9/3/2025 12:21:17,9828dfc5,
672403251,8bdbe149,Oksigen 6m3,1121,,9/11/2025 8:24:17,9828dfc5,
673539234,8bdbe149,Oksigen 6m3,11210,,8/14/2025 9:40:34,2d88931c,
682359348,8bdbe149,Oksigen 6m3,11211,,1/27/2026 9:05:56,b218b89b,
673540391,7d2764f1,Oksigen 7m3,11212,,8/29/2025 8:33:46,f7243d00,
673544689,7d2764f1,Oksigen 7m3,11213,,9/19/2025 8:33:35,d9b2fac5,
673544670,7d2764f1,Oksigen 7m3,11214,,9/19/2025 8:33:43,3bcd7fe6,
673544722,7d2764f1,Oksigen 7m3,11215,,9/19/2025 8:34:09,17a8e612,
673544777,7d2764f1,Oksigen 7m3,11216,,7/30/2025 16:15:36,057b6b99,
673544704,7d2764f1,Oksigen 7m3,11217,,9/9/2025 10:13:37,AKGREADY,
673544643,7d2764f1,Oksigen 7m3,11218,,9/8/2025 8:28:41,d9b2fac5,
12344319890,7d2764f1,Oksigen 7m3,11219,,2/11/2026 10:03:33,9e5d8274,
672401208,8bdbe149,Oksigen 6m3,1122,,9/11/2025 8:25:32,a0f0ad2d,
673544731,7d2764f1,Oksigen 7m3,11220,,9/6/2025 9:52:47,dcdf8b31,
673544838,7d2764f1,Oksigen 7m3,11221,,8/6/2025 12:04:31,AKGREADY,
673544652,7d2764f1,Oksigen 7m3,11222,,8/6/2025 12:04:43,d9b2fac5,
673544740,7d2764f1,Oksigen 7m3,11223,,9/19/2025 8:33:49,d9b2fac5,
673544759,7d2764f1,Oksigen 7m3,11224,,9/6/2025 9:53:00,370c84d1,
673544786,7d2764f1,Oksigen 7m3,11225,,8/28/2025 9:57:24,d9b2fac5,
673544801,7d2764f1,Oksigen 7m3,11226,,8/30/2025 9:54:32,8ea74d81,
673544661,7d2764f1,Oksigen 7m3,11227,,9/9/2025 9:47:46,3bcd7fe6,
i19827,8bdbe149,Oksigen 6m3,11228,,2/9/2026 13:55:52,AKGREADY,
683324437,8bdbe149,Oksigen 6m3,11229,,1/30/2026 9:03:01,b218b89b,
,8bdbe149,Oksigen 6m3,1123,,11/1/2025 11:18:35,AKGREADY,
673544829,7d2764f1,Oksigen 7m3,11230,,7/30/2025 16:16:15,dcdf8b31,
683324473,8bdbe149,Oksigen 6m3,11231,,9/6/2025 9:48:59,AKGREADY,
683321449,8bdbe149,Oksigen 6m3,11232,,8/27/2025 12:05:10,b218b89b,
683327179,8bdbe149,Oksigen 6m3,11234,,9/23/2025 15:01:25,a9fe1bea,
683324491,8bdbe149,Oksigen 6m3,11235,,9/24/2025 15:12:53,AKGREADY,
2026000462,8bdbe149,Oksigen 6m3,11236,,1/28/2026 15:33:10,AKGREADY,
683321944,8bdbe149,Oksigen 6m3,11237,,11/7/2025 13:33:08,785e0e07,
683321953,8bdbe149,Oksigen 6m3,11238,,9/13/2025 13:36:48,b218b89b,
683324419,8bdbe149,Oksigen 6m3,11239,,8/20/2025 14:54:12,AKGREADY,
672403215,8bdbe149,Oksigen 6m3,1124,,7/30/2025 15:57:45,3b04351a,
683324428,8bdbe149,Oksigen 6m3,11240,,12/21/2025 10:40:02,eec2e801,
683269574,8bdbe149,Oksigen 6m3,11241,,8/20/2025 11:28:18,8ea74d81,
672403011,8bdbe149,Oksigen 6m3,11242,,9/19/2025 8:36:14,eec2e801,
,8bdbe149,Oksigen 6m3,11243,,8/16/2025 18:03:47,8f5ebaea,
683327160,8bdbe149,Oksigen 6m3,11244,,,AKGREADY,
683326107,8bdbe149,Oksigen 6m3,11245,,9/19/2025 8:38:45,58b72e0c,
682367231,8bdbe149,Oksigen 6m3,11246,,1/8/2026 12:21:33,eec2e801,
683329751,8bdbe149,Oksigen 6m3,11247,,8/29/2025 9:25:38,a9fe1bea,
2026000420,8bdbe149,Oksigen 6m3,11248,,2/5/2026 9:17:46,AKGREADY,
683269565,8bdbe149,Oksigen 6m3,11249,,9/11/2025 8:22:50,AKGREADY,
NOT ASIGNED YET,8bdbe149,Oksigen 6m3,1125,,1/21/2026 12:27:43,AKGREADY,
2026000403,8bdbe149,Oksigen 6m3,11250,,2/7/2026 14:22:43,eec2e801,
683326134,8bdbe149,Oksigen 6m3,11251,,9/9/2025 10:08:51,eec2e801,
683279580,8bdbe149,Oksigen 6m3,11252,,9/26/2025 15:15:57,b218b89b,
682456508,8bdbe149,Oksigen 6m3,11253,,11/7/2025 10:48:05,AKGREADY,
,8bdbe149,Oksigen 6m3,11254,,8/16/2025 18:04:02,8f5ebaea,
2026000367,8bdbe149,Oksigen 6m3,11255,,2/16/2026 13:27:54,AKGREADY,
683324482,8bdbe149,Oksigen 6m3,11256,,9/19/2025 8:38:22,734c6d17,
,8bdbe149,Oksigen 6m3,11257,,8/28/2025 9:56:28,AKGREADY,
683321935,8bdbe149,Oksigen 6m3,11258,,8/28/2025 10:01:50,b218b89b,
682368319,8bdbe149,Oksigen 6m3,1126,,11/12/2025 8:43:05,AKGREADY,
683322527,8bdbe149,Oksigen 6m3,11260,,9/11/2025 8:18:37,ba97d58d,
683329335,8bdbe149,Oksigen 6m3,11261,,9/6/2025 9:12:09,63fc688a,
683325287,8bdbe149,Oksigen 6m3,11262,,9/30/2025 8:47:43,ba97d58d,
683325199,8bdbe149,Oksigen 6m3,11263,,9/19/2025 8:35:12,a9fe1bea,
683325241,8bdbe149,Oksigen 6m3,11265,,8/20/2025 11:22:08,AKGREADY,
683322572,8bdbe149,Oksigen 6m3,11266,,8/30/2025 9:44:48,63fc688a,
2026000418,8bdbe149,Oksigen 6m3,11267,,2/5/2026 9:17:33,AKGREADY,
682368337,8bdbe149,Oksigen 6m3,11268,,11/22/2025 9:28:30,AKGREADY,
683322590,7d2764f1,Oksigen 7m3,11269,,12/2/2025 13:29:30,01158be1,
2026000406,8bdbe149,Oksigen 6m3,1127,,2/7/2026 14:22:33,89d46c39,
683322615,8bdbe149,Oksigen 6m3,11270,,8/30/2025 9:43:07,e86baf3b,
683324048,8bdbe149,Oksigen 6m3,11271,,8/30/2025 9:44:05,b218b89b,
683326143,8bdbe149,Oksigen 6m3,11272,,8/28/2025 9:59:22,9828dfc5,
683329186,8bdbe149,Oksigen 6m3,11273,,8/20/2025 11:21:50,a9fe1bea,
682456599,8bdbe149,Oksigen 6m3,11274,,11/7/2025 10:44:45,e86baf3b,
683321917,8bdbe149,Oksigen 6m3,11275,,1/13/2026 16:50:38,63fc688a,
683324002,8bdbe149,Oksigen 6m3,11276,,1/27/2026 9:33:35,AKGREADY,
683271807,8bdbe149,Oksigen 6m3,11277,,8/30/2025 9:46:51,AKGREADY,
